z_centers	P_centers
5342.810536393269	989785955.8603795
15954.163392205888	858687242.6793938
26415.704470366778	744952761.124397
36724.93000232828	646282591.2904184
46879.43417370601	560681441.2965319
56876.917286775744	486418298.82292384
66715.19375498331	421991426.86560476
76392.19987473176	366097995.8586966
85906.00131937374	317607738.0700893
95254.80030061792	275540091.5140033
104436.9423434823	239044371.18843383
113450.92262251125	207382566.66351473
122295.39180922061	179914418.15647346
130969.16138363657	156084469.30403027
139471.20836633275	135410834.8155431
147800.6794315083	117475455.86823376
155956.8943663442	101915646.19070831
163939.3488470694	88416757.88106737
171747.71650778942	76705818.64899185
179381.8502841088	66546011.81516423
186841.78301981822	57731887.44348512
194127.72733133673	50085207.766391344
201240.07473109692	43451342.89015295
208179.39401753858	37696143.89469625
214946.4289457435	32703230.096294105
221542.09519889773	28371635.616597712
227967.4766866247	24613767.66731712
234223.82120170808	21353635.26332067
240312.53547174082	18525312.54548212
246235.1796467355	16071605.63884375
251993.46126765496	13942896.087521428
257589.22876413108	12096137.47848323
263024.4645323042	10493984.964093406
268301.2776457225	9104040.080770247
273421.89625357965	7898195.592605519
278388.65972126	6852067.111481288
283208.7892241653	5944500.0
287891.0860281084	5157100.0
292438.324350395	4474000.0
296851.7895074869	3881400.0
301131.9949689959	3367250.0
305280.10336304264	2921200.0
309298.3966667222	2534250.0
313187.87059564254	2198600.0
316951.33563841425	1907400.0
320590.62310400594	1654750.0
324107.5616467118	1435550.0
327503.97737726674	1245400.0
330782.81905107736	1080450.0
333947.5326862007	937320.0
337000.02016508905	813165.0
339967.0453449721	705455.0
342877.0210544853	612010.0
345728.17063881457	530945.0
348510.89448098047	460620.0
351209.6200425617	399605.0
353787.3381677812	346670.0
356227.6140121719	300750.0
358554.86083786073	260915.0
360789.77410388447	226355.0
362939.147359394	196370.0
365004.8650860092	170360.0
366989.9063942114	147795.0
368904.69014936686	128215.0
370755.46813035687	111235.0
372541.4509533819	96503.5
374264.74246592564	83719.0
375928.7462929264	72629.5
377536.5970275216	63009.0
379090.4457304469	54663.0
380593.08884661575	47422.5
382047.27909071743	41141.0
383455.9544481869	35691.5
384822.02105663164	30964.0
386148.4807496529	26862.5
387437.85326761677	23304.0
388692.25875787047	20217.0
389914.0067154493	17539.0
391105.2942040436	15216.0
392268.49263470294	13200.5
393405.29313681426	11452.0
394517.5243310143	9935.25
395607.01817371405	8619.2
396674.82650038885	7477.55
397722.1398021771	6487.1
398750.07305662485	5627.8
399759.79647953936	4882.35
400752.7453996793	4235.65
401730.2529389216	3674.6
402693.5609275004	3187.9
403643.93068557733	2765.6
404581.4726158083	2399.25
405506.07848298503	2081.45
406418.0213315478	1805.75
407318.4993419038	1566.6
408209.310837467	1359.1
409091.69010041567	1179.05
409966.31582808413	1022.86
410833.44763666927	887.385
411693.48405104846	769.845
412546.75219308515	667.87
413393.56997944065	579.405
414234.2810810728	502.66
415069.0353184636	436.08000000000004
415897.51428335445	378.31500000000005
416719.0700475151	328.20500000000004
417533.2594459489	284.735
418339.56449442526	247.01999999999998
419137.47301064135	214.3
419927.2036449077	185.91500000000002
420709.4983385773	161.29000000000002
421484.8729299161	139.925
422253.53410276904	121.39000000000001
423015.74664840713	105.30999999999999
423771.72600189777	91.36
424521.54167905805	79.26
425265.75651401165	68.76
426004.35975774034	59.65
426737.2181647119	51.75
427464.9704321425	44.894999999999996
428187.38324397797	38.95
428905.4014089691	33.79
429618.4877539894	29.314999999999998
430327.020798337	25.435000000000002
431032.39545722393	22.065
431734.7908403496	19.14
