z_levels	P_levels	kzz_levels
0.0	1103178630.660795	24629836231.41688
10839.556002187739	980343402.198612	24577556140.987133
21608.050481225317	871185463.1000917	24523730162.59787
32303.727265806414	774181893.2170051	24468327746.085945
42924.81815714702	687979344.4351873	24411318707.1284
53469.544921552166	611375159.3991345	24352673299.10309
63936.12140348957	543300592.603082	24292362287.607983
74322.75575831324	482805899.75713336	24230357027.49422
84627.65280310558	429047087.40229857	24166629542.243195
94849.01648338969	381274137.91131055	24101152605.49229
104985.05245271172	338820545.5959804	24033899824.48768
115033.97076130673	301094017.93378824	23964845725.216427
124993.98864924688	267568212.18160492	23893965838.943348
134863.33343863406	237775392.08966905	23821236789.85208
144640.2455185427	211299902.26575476	23746636383.4637
154322.98141555346	187772369.14693063	23670143695.481377
163909.81694184933	166864547.6736006	23591739160.68555
173399.0504119815	148284741.76904997	23511404661.481365
182789.00591856104	131773734.73318431	23429123615.67957
192078.03665630496	117101172.77323207	23344881063.07321
201264.5282830676	104062351.21613437	23258663750.356174
210346.90230573472	92475358.56537107	23170460213.916298
219323.61947815414	82178538.55744946	23080260860.025227
228193.18319763578	73028234.80986315	22988058041.94045
236954.14288598485	64896786.59491154	22893846133.431484
245605.09734054323	57670747.777360715	22797621598.243134
254144.6980403175	51249304.06740254	22699383055.013542
262571.6523919722	45542866.507171266	22599131337.174065
270884.7269002766	40471821.56780351	22496869547.37177
279082.75024751533	35965420.418984994	22392603105.973747
287164.6162664142	31960791.87459573	22286339793.23532
295129.2867912997	28402065.243536312	22178089784.741688
302975.7943725033	25239590.84816313	22067865679.764458
310703.2448394433	22429247.33537312	21955682522.21076
318310.8196983692	19931826.11626821	21841557813.88261
325797.77835143055	17712484.34639203	21725511519.808277
333163.46012453537	15740258.814776484	21607566065.454464
340407.28609238414	13987633.959807318	21487746325.67835
347528.7606900984	12430157.985069532	21366079605.33094
354527.4731020009	11046101.7194016	21242595611.47781
361403.0984193355	9816155.46173482	21117326417.2588
368155.39856002806	8723159.581239697	20990306417.46506
374784.22294497536	7751865.114239524	20861572275.968082
381289.50892678753	6888721.017852093	20731162865.191624
387671.281968395	6121685.112222513	20599119197.872177
393929.6555704376	5440056.07370227	20465484351.40684
400064.83094787627	4834324.135022459	20330303385.137863
406077.0964577823	4296038.409500354	20193623250.97116
411966.8267817571	3817688.9882491482	20055492697.769894
417734.4818678926	3392602.1654666504	19915962170.00464
423380.6056385955	3014847.3300355347	19775083701.17729
428905.82447194104	2679154.2244306044	19632910802.566727
434310.8454654917	2380839.416568318	19489498347.870144
439596.45449269214	2115740.9587684562	19344902454.33455
444763.5140630329	1880160.3222205476	19199180360.987846
449812.960998143	1670810.7968520627	19052390304.588577
454745.80393682397	1484771.6366976723	18904591393.917446
459563.12068277196	1319447.3110273299	18755843483.032173
464266.0554093365	1172531.2927241349	18606207044.10086
468855.815736143	1041973.8787044706	18455743040.416977
473333.669692752	925953.5934260793	18304512800.18287
477700.94258475007	822851.7765192903	18152577891.627613
481959.01377775753	731230.0	18000000000.0
486147.9958333429	649810.0	18000000000.0
490268.146495537	577450.0	18000000000.0
494318.22927340795	513160.0	18000000000.0
498299.66299557505	456020.0	18000000000.0
502212.11474680644	405240.0	18000000000.0
