elem_name	ibin	pctop	pcbot	ftopp	fbotp
"Pure TiO2"	0	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	0	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	0	0.0	0.0	0.0	0.0
"Pure TiO2"	1	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	1	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	1	0.0	0.0	0.0	0.0
"Pure TiO2"	2	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	2	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	2	0.0	0.0	0.0	0.0
"Pure TiO2"	3	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	3	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	3	0.0	0.0	0.0	0.0
"Pure TiO2"	4	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	4	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	4	0.0	0.0	0.0	0.0
"Pure TiO2"	5	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	5	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	5	0.0	0.0	0.0	0.0
"Pure TiO2"	6	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	6	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	6	0.0	0.0	0.0	0.0
"Pure TiO2"	7	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	7	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	7	0.0	0.0	0.0	0.0
"Pure TiO2"	8	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	8	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	8	0.0	0.0	0.0	0.0
"Pure TiO2"	9	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	9	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	9	0.0	0.0	0.0	0.0
"Pure TiO2"	10	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	10	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	10	0.0	0.0	0.0	0.0
"Pure TiO2"	11	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	11	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	11	0.0	0.0	0.0	0.0
"Pure TiO2"	12	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	12	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	12	0.0	0.0	0.0	0.0
"Pure TiO2"	13	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	13	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	13	0.0	0.0	0.0	0.0
"Pure TiO2"	14	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	14	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	14	0.0	0.0	0.0	0.0
"Pure TiO2"	15	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	15	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	15	0.0	0.0	0.0	0.0
"Pure TiO2"	16	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	16	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	16	0.0	0.0	0.0	0.0
"Pure TiO2"	17	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	17	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	17	0.0	0.0	0.0	0.0
"Pure TiO2"	18	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	18	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	18	0.0	0.0	0.0	0.0
"Pure TiO2"	19	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	19	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	19	0.0	0.0	0.0	0.0
"Pure TiO2"	20	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	20	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	20	0.0	0.0	0.0	0.0
"Pure TiO2"	21	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	21	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	21	0.0	0.0	0.0	0.0
"Pure TiO2"	22	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	22	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	22	0.0	0.0	0.0	0.0
"Pure TiO2"	23	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	23	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	23	0.0	0.0	0.0	0.0
"Pure TiO2"	24	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	24	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	24	0.0	0.0	0.0	0.0
"Pure TiO2"	25	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	25	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	25	0.0	0.0	0.0	0.0
"Pure TiO2"	26	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	26	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	26	0.0	0.0	0.0	0.0
"Pure TiO2"	27	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	27	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	27	0.0	0.0	0.0	0.0
"Pure TiO2"	28	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	28	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	28	0.0	0.0	0.0	0.0
"Pure TiO2"	29	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	29	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	29	0.0	0.0	0.0	0.0
"Pure TiO2"	30	0.0	0.0	0.0	0.0
"Mg2SiO4 Mantle"	30	0.0	0.0	0.0	0.0
"TiO2 Core (Mg2SiO4)"	30	0.0	0.0	0.0	0.0
