# P	kzz
1.706400000000000000e+08 3.455056063914175332e+07
1.205400000000000000e+08 4.110833874224900454e+07
8.515200000000000000e+07 4.891004852399392426e+07
6.015200000000000000e+07 5.819296481819203496e+07
4.249200000000000000e+07 6.923758857130712271e+07
3.001700000000000000e+07 8.237812020304892957e+07
2.120400000000000000e+07 9.801366350706200302e+07
1.497900000000000000e+07 1.166149175976129323e+08
1.058100000000000000e+07 1.387497351915328801e+08
7.474700000000000000e+06 1.650815875532381535e+08
5.280200000000000000e+06 1.964130473328031301e+08
3.730000000000000000e+06 2.336905249853300750e+08
2.634900000000000000e+06 2.780439511208972931e+08
1.861300000000000000e+06 3.308166286573853493e+08
1.314800000000000000e+06 3.936095911546929479e+08
9.288200000000000000e+05 4.683060203636435270e+08
6.561300000000000000e+05 5.571864833948189020e+08
4.635000000000000000e+05 6.629345458103520870e+08
3.274200000000000000e+05 7.887564397589342594e+08
2.312900000000000000e+05 9.384628645872681141e+08
1.633900000000000000e+05 1.116561846596989393e+09
1.154200000000000000e+05 1.328479891585647583e+09
8.153200000000000000e+04 1.580634555716825485e+09
5.759500000000000000e+04 1.880629000044292688e+09
4.068600000000000000e+04 2.237551411479164124e+09
2.874100000000000000e+04 2.662223929441359043e+09
2.030300000000000000e+04 3.167491169535330772e+09
1.434200000000000000e+04 3.768692132575511932e+09
1.013100000000000000e+04 4.484038806136512756e+09
7.156899999999999636e+03 5.334983070201529503e+09
5.055699999999999818e+03 6.347531611567678452e+09
3.571400000000000091e+03 7.552248524032888412e+09
2.522899999999999636e+03 8.985567308978300095e+09
1.782200000000000045e+03 1.069097466701668739e+10
1.258900000000000091e+03 1.272037467004166412e+10
8.893300000000000409e+02 1.513435959820182419e+10
6.282300000000000182e+02 1.800678521632013702e+10
4.437900000000000205e+02 2.142430607233381271e+10
3.135000000000000000e+02 2.549040569268122482e+10
2.214600000000000080e+02 3.032828637977688599e+10
1.564400000000000261e+02 3.608457681883197784e+10
1.105099999999999909e+02 4.293334542996284485e+10
7.806599999999998829e+01 5.108160759039543152e+10
5.514599999999999369e+01 6.077689542264398193e+10
3.895599999999999596e+01 7.231166168986993408e+10
2.751899999999999835e+01 8.603579894651287842e+10
1.944000000000000128e+01 1.000000000000000000e+11
1.373199999999999932e+01 1.000000000000000000e+11
9.700599999999999667e+00 1.000000000000000000e+11
6.852600000000000691e+00 1.000000000000000000e+11
4.840800000000000658e+00 1.000000000000000000e+11
3.419599999999999973e+00 1.000000000000000000e+11
2.415599999999999969e+00 1.000000000000000000e+11
