#5x Solar photospheric element abundances  (Asplund et al., A&A, 653, A141, 2021) for CARMA TiO/VO project
e-  0.00
H  12.00
He  10.914
Al  7.13
Ar  7.08
C  9.16
Ca  7.00
Cl  6.01
Co  5.64
Cr  6.32
Cu  4.88
F  5.10
Fe  8.16
Ge  4.32
K  5.77
Mg  8.25
Mn  6.12
N  8.53
Na  6.92
Ne  8.76
Ni  6.90
O  9.39
P  6.11
S  7.82
Si  8.21
Ti  5.67
V  4.60
Zn  5.26
Li  1.66
Be  2.08
B  3.40
Sc  3.84
Ga  3.72
As  3.00
Se  4.04
Br  3.24
Kr  3.82
Rb  3.02
Sr  3.53
Y  2.91
Zr  3.29
Nb  2.17
Mo  2.58
Ru  2.45
Rh  1.48
Pd  2.27
Ag  1.66
Cd  2.41
In  1.50
Sn  2.72
Sb  1.71
Te  2.88
Xe  2.92
Cs  1.78
Ba  2.97
La  1.81
Ce  2.28
Pr  1.45
Nd  2.12
Sm  1.65
Eu  1.22
Gd  1.78
Tb  1.01
Dy  1.80
Ho  1.18
Er  1.63
Tm  0.81
Yb  1.55
Lu  0.80
Hf  1.55
W  1.49
Re  0.96
Os  2.05
Ir  2.02
Pt  2.31
Au  1.61
Hg  1.87
Tl  1.62
Pb  2.65
Bi  1.35
Th  0.73
