r[cm]	λ[cm]	Q_ext	Q_sca	g
1e-08	0.0001	1.414795783123828e-06	8.57543636902573e-14	9.405062300304401e-08
1e-08	0.00010290290290290291	1.3806837675240873e-06	7.637072763441038e-14	8.877986011080624e-08
1e-08	0.00010580580580580581	1.3484508935860652e-06	6.823068897671382e-14	8.393802683785218e-08
1e-08	0.00010870870870870872	1.3179466280207954e-06	6.114202739976729e-14	7.947986799020137e-08
1e-08	0.00011161161161161162	1.2890360984374558e-06	5.4946268861121314e-14	7.536594036860135e-08
1e-08	0.00011451451451451453	1.2615981083457068e-06	4.951208627624178e-14	7.156173974636358e-08
1e-08	0.00011741741741741742	1.2355234466088877e-06	4.473011652542051e-14	6.803697707672968e-08
1e-08	0.00012032032032032033	1.210713441619466e-06	4.050886406568628e-14	6.476497547580443e-08
1e-08	0.00012322322322322324	1.1870787198402743e-06	3.6771443911385496e-14	6.172216548798203e-08
1e-08	0.00012612612612612612	1.1645381357858246e-06	3.345297722720772e-14	5.8887660745838174e-08
1e-08	0.00012902902902902903	1.1430178464440941e-06	3.0498497473526256e-14	5.62428997173304e-08
1e-08	0.00013193193193193194	1.1224505078918346e-06	2.786125832247491e-14	5.377134203494138e-08
1e-08	0.00013483483483483485	1.1027745756881245e-06	2.5501359517187152e-14	5.145821010657146e-08
1e-08	0.00013773773773773773	1.0839336937358112e-06	2.3384625685352103e-14	4.92902684533769e-08
1e-08	0.00014064064064064064	1.0658761588286216e-06	2.1481687432300386e-14	4.7255634608642445e-08
1e-08	0.00014354354354354355	1.0485544501696835e-06	1.9767224982119532e-14	4.534361652266349e-08
1e-08	0.00014644644644644646	1.0319248148462683e-06	1.8219343050965096e-14	4.3544572311496723e-08
1e-08	0.00014934934934934937	1.015946901647392e-06	1.681905214514294e-14	4.184978890847568e-08
1e-08	0.00015225225225225225	1.00058343677218e-06	1.5549836537157584e-14	4.025137676226255e-08
1e-08	0.00015515515515515516	9.857999359426554e-07	1.4397293128207355e-14	3.874217820168789e-08
1e-08	0.00015805805805805807	9.715644482406903e-07	1.334882851236207e-14	3.731568747740114e-08
1e-08	0.00016096096096096096	9.578473276641473e-07	1.2393404009572623e-14	3.596598081046967e-08
1e-08	0.0001638638638638639	9.446210289648055e-07	1.1521320378643861e-14	3.468765504196975e-08
1e-08	0.00016676676676676677	9.318599248093774e-07	1.0724035469377732e-14	3.3475773695980674e-08
1e-08	0.00016966966966966968	9.195401417098554e-07	9.994009311129219e-15	3.232581944971901e-08
